2,0,Steve_Sleder,Ste_leder,1285455904,0.0,0
2389,4,Steve_Chandra,Ste_andra,101209352,0,0
2,4,Steve_Chandra,Ste_andra,101209352,0.0,0
9,4.00,Steve_Chandra,Ste_andra,101209352,-1278572.0,0
2,5,Sumanth_Sleder,Sum_leder,457173084,-1.0,0
2,5,Sumanth_Sleder,Sum_leder,457173084,-0.25,0
9,5.00,Sumanth_Sleder,Sum_leder,457173084,-1986152.0,0
2,6,Sumanth_Vishwanath,Sum_anath,1041123346,-841920,0
2,9,Sumanth_Chandra,Sum_andra,1013768660,0.0,0
2,9,Sumanth_Chandra,Sum_andra,1013768660,0.25,0
2,9,Sumanth_Chandra,Sum_andra,1013768660,-567356,0
2,12,Rankyung_Hong,Ran__Hong,909289987,0.0,0
2,12,Rankyung_Hong,Ran__Hong,909289987,-680379,0
9,12.00,Rankyung_Hong,Ran__Hong,909289987,-679368.0,0
2,15,Zhou_Sleder,Zho_leder,677586067,-0.5,0
2,15,Zhou_Sleder,Zho_leder,677586067,-1682309,0
2,16,Zhou_Vishwanath,Zho_anath,1106703999,-0.25,0
2,16,Zhou_Vishwanath,Zho_anath,1106703999,0.75,0
9,16.00,Zhou_Vishwanath,Zho_anath,1106703999,-1555956.5,0
2,17,Zhou_Hong,Zho__Hong,1435425053,1.0,0
2,19,Zhou_Chandra,Zho_andra,996097303,0.0,0
2,19,Zhou_Chandra,Zho_andra,996097303,0.0,0
2,19,Zhou_Chandra,Zho_andra,996097303,0.75,0
6,21,Abishek_Vishwanath,Abi_anath,1316154708,0,0
1234,21,Abishek_Vishwanath,Abi_anath,1316154708,0,0
9,21.00,Abishek_Vishwanath,Abi_anath,1316154708,-1866554.75,0
2,22,Abishek_Hong,Abi__Hong,673363405,-1.0,0
2,23,Abishek_Zhuang,Abi_huang,325209641,0.25,0
2,23,Abishek_Zhuang,Abi_huang,325209641,-1.0,0
2,24,Abishek_Chandra,Abi_andra,52135998,-1694697,0
